,oil_store,가격,상표,셀프,주소,구
0,지에스칼텍스㈜ 동서울주유소,1505.0,GS칼텍스,Y,서울 강동구 천호대로 1456 (상일동),강동구
1,구천면주유소,1516.0,현대오일뱅크,N,서울 강동구 구천면로 357 (암사동),강동구
2,지에스칼텍스㈜ 신월주유소,1519.0,GS칼텍스,N,서울 강동구 양재대로 1323 (성내동),강동구
3,방아다리주유소,1535.0,SK에너지,Y,서울 강동구 동남로 811 (명일동),강동구
4,대성석유(주)직영 길동주유소,1538.0,GS칼텍스,N,서울 강동구 천호대로 1168,강동구
5,주)지유에너지직영 오렌지주유소,1543.0,SK에너지,N,서울 강동구 성안로 102 (성내동),강동구
6,고속셀프주유소,1545.0,SK에너지,Y,서울 강동구 천호대로 1246,강동구
7,SK네트웍스㈜암사주유소(self),1545.0,SK에너지,Y,서울 강동구 올림픽로 749 (암사동),강동구
8,(주)퍼스트오일 코알라주유소,1548.0,S-OIL,Y,서울특별시 강동구  올림픽로 556 (성내동),강동구
9,sk해뜨는주유소,1558.0,SK에너지,Y,서울특별시 강동구  상일로 132 (강일동),강동구
10,SK네트웍스 명일셀프주유소,1569.0,SK에너지,N,서울 강동구 고덕로 168 (명일동),강동구
11,(주)소모에너지엔테크놀러지 성내주유소,1578.0,GS칼텍스,Y,서울 강동구 올림픽로 578 (성내동),강동구
12,광성주유소,1598.0,S-OIL,N,서울 강동구 올림픽로 673 (천호동),강동구
13,(주)삼표에너지 고덕주유소,1668.0,GS칼텍스,N,서울 강동구 고덕로 39 (암사동),강동구
14,CJ대한통운㈜ 천호점주유소,1727.0,현대오일뱅크,N,서울 강동구 천중로 67 (천호동),강동구
15,강동주유소,1943.0,SK에너지,N,서울 강동구 양재대로 1509 (길동),강동구
16,재원에너지(주)용일주유소,1452.0,GS칼텍스,N,서울 동대문구 안암로 54 (용두동),동대문구
17,풍한주유소,1455.0,SK에너지,N,서울특별시 동대문구  안암로 168 (제기동),동대문구
18,배봉로주유소,1457.0,현대오일뱅크,Y,서울 동대문구 서울시립대로 108,동대문구
19,재정제2주유소,1458.0,현대오일뱅크,Y,서울 동대문구 사가정로 90 (전농동),동대문구
20,동일석유(주)강남주유소,1458.0,SK에너지,N,서울특별시 동대문구  사가정로 103 (전농동),동대문구
21,재정주유소,1458.0,현대오일뱅크,N,서울 동대문구 전농로 121 (전농동),동대문구
22,SK경동주유소,1464.0,SK에너지,N,서울 동대문구 이문로 191 (이문동),동대문구
23,웰컴주유소,1465.0,현대오일뱅크,N,서울 동대문구 한천로 414 (이문동),동대문구
24,(주)열린주유소,1479.0,GS칼텍스,N,서울 동대문구 한천로 263 (휘경동),동대문구
25,삼미상사(주)장안킹셀프주유소,1485.0,SK에너지,Y,서울특별시 동대문구  한천로 100 (장안동),동대문구
26,삼영주유소,1489.0,SK에너지,N,서울 동대문구 답십리로 258 (장안동),동대문구
27,답십리주유소,1489.0,GS칼텍스,N,서울 동대문구 답십리로 223 (답십리동),동대문구
28,(주)파랑에너지,1499.0,GS칼텍스,Y,서울특별시 동대문구  망우로 1 (휘경동)126,동대문구
29,삼원셀프주유소,1519.0,SK에너지,Y,서울 동대문구 망우로 90 (휘경동),동대문구
30,대성산업(주)동마장주유소,1529.0,GS칼텍스,N,서울 동대문구 고산자로 405 (용두동),동대문구
31,홍능주유소,1529.0,S-OIL,N,서울 동대문구 홍릉로 87 (청량리동),동대문구
32,오동나무주유소,1538.0,S-OIL,N,서울 동대문구  한천로 81 (답십리동),동대문구
33,대성산업㈜청량리주유소,1559.0,GS칼텍스,N,서울 동대문구 왕산로 289 (청량리동),동대문구
34,SK네트웍스스피드주유소,1589.0,SK에너지,N,서울 동대문구 천호대로 453 (장안동),동대문구
35,한영주유소 (한화),1595.0,현대오일뱅크,N,서울 동대문구 망우로 38 (휘경동),동대문구
36,능주주유소,1688.0,SK에너지,N,서울 동대문구 청계천로 431 (신설동),동대문구
37,신성주유소,1894.0,현대오일뱅크,N,서울 동대문구 장한로 29 (장안동),동대문구
38,지에스칼텍스(주) 대방주유소,1478.0,GS칼텍스,N,서울 동작구 여의대방로 214,동작구
39,매일주유소,1489.0,S-OIL,N,서울특별시 동작구  상도로 139 (상도동),동작구
40,21세기주유소,1495.0,SK에너지,Y,서울 동작구 시흥대로 616 (신대방동),동작구
41,창원ENG,1499.0,현대오일뱅크,N,서울 동작구 사당로 59 (상도동),동작구
42,현대오일뱅크(주)직영 동작주유소,1504.0,현대오일뱅크,N,서울 동작구 상도로 403 (상도동),동작구
43,현대오일뱅크(주)직영 사당셀프주유소,1504.0,현대오일뱅크,Y,서울 동작구 동작대로 73 (사당동),동작구
44,대성산업(주) 노량진주유소,1509.0,GS칼텍스,N,서울 동작구 노량진로 172 (노량진동),동작구
45,(주)성림에너지 남성주유소,1524.0,GS칼텍스,Y,서울특별시 동작구  동작대로 135 (사당동),동작구
46,흑석동,1565.0,SK에너지,Y,서울 동작구 현충로 101 (흑석동),동작구
47,살피재주유소,1625.0,SK에너지,N,서울 동작구 상도로 334,동작구
48,성산주유소,1577.0,SK에너지,N,서울 마포구  월드컵북로 170 (성산제2동),마포구
49,마포시엠주유소,1587.0,GS칼텍스,N,서울 마포구 월드컵북로62 (성산동),마포구
50,청원주유소,1598.0,현대오일뱅크,N,서울 마포구 월드컵북로 113 (성산동),마포구
51,용강주유소,1639.0,S-OIL,N,서울 마포구 토정로 258,마포구
52,(주)만성상사(대흥),1666.0,SK에너지,N,서울 마포구 대흥로 61 (대흥동),마포구
53,성산대교(해월),1769.0,SK에너지,N,서울 마포구 성산로 144,마포구
54,안국주유소,1780.0,SK에너지,N,서울 마포구 양화로 33 (합정동),마포구
55,마포주유소,1798.0,S-OIL,N,서울 마포구 마포대로 186 (공덕동),마포구
56,합정주유소,1859.0,SK에너지,N,서울 마포구 양화로 13 (합정동),마포구
57,SK에너지 양지주유소,1879.0,SK에너지,N,서울 마포구 마포대로 69 (도화동),마포구
58,Happy Auto,1879.0,SK에너지,N,서울 마포구 서강로 76 (창전동),마포구
59,(주)가재울뉴타운주유소,1474.0,현대오일뱅크,Y,서울 서대문구 모래내로 205,서대문구
60,(주)마봉 구도일주유소 두꺼비,1479.0,S-OIL,Y,서울특별시 서대문구  성산로 312 (연희동),서대문구
61,남정주유소,1479.0,GS칼텍스,N,서울특별시 서대문구  모래내로 243 (남가좌동),서대문구
62,(주)마봉 신우주유소,1488.0,S-OIL,Y,서울 서대문구 가좌로 106 (홍은동),서대문구
63,(주)창원이엔지 홍제지점,1489.0,현대오일뱅크,N,서울 서대문구 통일로 455 (홍제동),서대문구
64,코리아상사연세주유소,1499.0,GS칼텍스,N,서울 서대문구 연희로 184,서대문구
65,연희주유소,1518.0,SK에너지,N,서울 서대문구 연희로 129 (연희동 89-7번지),서대문구
66,광호주유소,1518.0,SK에너지,N,서울 서대문구 연희로 266 (홍은동),서대문구
67,지에스칼텍스(주)홍제동주유소,1518.0,GS칼텍스,Y,서울 서대문구 통일로 372,서대문구
68,중앙에너비스 동교지점,1518.0,SK에너지,Y,서울 서대문구 연희로 12 (창천동),서대문구
69,삼보셀프주유소,1518.0,SK에너지,Y,서울 서대문구 연희로 78 (연희동),서대문구
70,삼미상사(주)서부주유소,1519.0,SK에너지,Y,서울 서대문구 성산로 255 (연희동),서대문구
71,KH에너지(주)직영 독립문주유소,1539.0,SK에너지,N,서울 서대문구 통일로 384 (홍제동),서대문구
72,문화촌주유소,1649.0,S-OIL,N,서울 서대문구 세검정로 87 (홍제동),서대문구
73,행촌제2주유소,1975.0,SK에너지,N,서울 서대문구 성산로 490 (대신동),서대문구
